text,class
" mips january actuals
fyi - not sure of the affect on p & l .
- - - - - - - - - - - - - - - - - - - - - - forwarded by brenda f herod / hou / ect on 02 / 10 / 2000
01 : 45 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
george grant
02 / 10 / 2000 01 : 23 pm
to : brenda f herod / hou / ect @ ect
cc :
subject : mips january actuals
fyi
- - - - - - - - - - - - - - - - - - - - - - forwarded by george grant / hou / ect on 02 / 10 / 2000 01 : 22
pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
romeo d ' souza
02 / 10 / 2000 11 : 09 am
to : george grant / hou / ect @ ect
cc : dave nommensen / hou / ect @ ect , michael eiben / hou / ect @ ect
subject : mips january actuals
george ,
there seems to be a problem with mips while trying to actualize
the january 2000 data ( y 2 k related ) . in order to actualize jan
pops has to manually load the actual files into pops , the
side effect of this is that some of the feb data may be loaded
with numbers that are old . this will be rectified as we complete
loading the jan actuals and then load the most recent mips
measured prelim numbers for feb .
pops is currently processing the mips files in the order they
were received , we should be done with this today . please inform
us of any abnormalities that you see tommorrow .
thanks
romeo",0
" cia _ lis r _ x direct descriptive chameleon
hey hershel ,
all discount m - e - d prices you asked about are ready .
t vic _ xan _ cial - val - all others can be sent right to your door .
everything is here _ no dr visit
go here
for what you need .
also ashley romeo medusa and airfoil prospectus .
sadie thinks wharves uttermost congest .
all m - e - d - s ! ,
imitation is the sincerest form of television . - fred allen ( 1894 - 1956 ) ads 60 lkptt its kind of fun to do the impossible . - walt disney ( 1901 - 1966 )
",1
" 
this week only : f . ree gen . erlc vlag . ra
cover the shipping , and we ' ll send youour product at no cost to prove its
effectiveness .
won ' t last . . . hurry
stop promos .
",1
" re : noms / actual vol for april 22 nd
we agree
"" eileen ponton "" on 04 / 23 / 2001 10 : 57 : 34 am
to : david avila / lsp / enserch / us @ tu , charlie stone / texas utilities @ tu , melissa
jones / texas utilities @ tu , hpl . scheduling @ enron . com , liz . bellamy @ enron . com
cc :
subject : noms / actual vol for april 22 nd
date nom mcf mmbtu
4 / 20 25 , 000 24 , 402 25 , 061 ( flowed from 13 : 00 to 9 : 00
am - 20 hours )
4 / 21 15 , 625 15 , 829 16 , 256 ( flowed from 9 : 00 am to
24 : 00 - 15 hours )
4 / 22 25 , 500 25 , 148 25 , 827 ( flowed from 16 : 00 to 9 : 00
am - 17 hours )
btu = 1 . 027",0
" hpl nom for may 19 - 21 , 2001
( see attached file : hplno 519 . xls )
- hplno 519 . xls",0
" 2001 budgets
i will be working you each of you to create your 2001 budget .
the first draft of the 2001 budget is due on september 18 th .
i will be doing most of the work , i will just need a little
bit of information from you !
for starters , i need your staffing requirements for 2001 . attached is a
worksheet
for you to enter what your approved staffing level is today , and any staff
adds you
think you will need by the end of next year .
be sure to add the business justification for any staff adds .
first fill in your approved staff for sept 2000 , then just change any month
with a staff
add , it will populate accross the rest of the months . type your justifcation
at the
bottom of the form .
please turn in your 2001 staffing by september 11 , end of business .
we will discuss your staffing requirements at steve ' s tuesday staff meeting .
thanks !",0
" nominations for oct . 21 - 23 , 2000
( see attached file : hplnl 021 . xls )
- hplnl 021 . xls",0
" organizational announcement
enron global markets ended the year with a great deal of momentum and with
very high expectations for 2001 . in order to better focus and expand the
various businesses within global markets , we are pleased to announce the
following organizational changes .
crude and products
this group is being re - organized into product lines in order to better focus
and maximize coverage and increase our market - making abilities . the
following individuals leading these groups report directly to john nowlan .
global crude oil
don schroeder and bill white will manage our global crude oil books . don  , s
emphasis will be on the development and expansion of our physical crude
positions both domestically and abroad . bill will manage the various
financial crude positions globally and will focus on developing these books .
distillate
chris mahoney will have responsibility of all distillate positions . chris
will focus on developing our global distillate strategy , building the
business both physically and financially .
global fuel oil
niamh clarke will expand her role managing our global fuel oil and resid
positions . emphasis will be placed on re - establishing enron in the financial
fuel market in the us and developing a physical fuel strategy .
global gasoline and components
jim goughary will assume responsibility for our global gasoline and
components business . following up on our expansion into the european market
in 2000 , we look forward to jim expanding our presence in the us as well as
asian markets .
global lpg
erik hansen and adam gross will be responsible for the development and
execution of our global lpg trading and strategy . under their guidance we
look to expand our presence into the asian pacific markets , as well as
continuing to grow our us and european operations .
petrochemical and plastics
stuart bland and douglas friedman will be responsible for the continued
development and growth of our petrochemical and plastics business . they will
work to further expand both our physical and financial presence in these
markets .
fuel management
doug leach will continue in his role developing our fuel management business
as well as other long - term structural transactions .
global origination
randy maffett has joined the group to lead , develop and grow all global
origination activities for the group . randy  , s most recent assignment was in
restructuring several equity investments for ena .
enron freight
this new group under the leadership of dan reck is developing a business in
the inter - modal transportation area in the united states . shawn cumberland
has joined this group to lead and expand the origination opportunities in
this business . shawn  , s most recent assignment was as coo of the calme region .
global risk management
jere overdyke has elected to leave enron after almost 10 years of service .
per sekse will take over the leadership of this very exciting and growing
business . per is located in enron  , s new york office but will be spending a
significant amount of his time in houston .
we look forward to this year and feel the above changes will provide the
focus and momentum we need to deliver a record performance in 2001 .
please congratulate everyone on their new assignments .",0
" texoma - beaumont hpl maintenance
this is in regard to the maintenance that you want to do at the texoma -
beaumont interconnect ( replace some valves , i believe ) .
we had discussed doing this at a time when mobil beaumont refinery would have
low gas takes . that window of opportunity will be in early to mid february .
mobil will take down some of the units at different times during the month .
some of these units are endothermic , some are exothermic , so in some cases
their gas load goes up when they take certain units down . but based on the
schedule of ups and downs that i ' ve been given , it looks like their gas load
will be at a low point between february 1 and february 12 , at somewhere
around 50 , 000 / d . last we talked about hpl continuing to deliver 20 , 000 / d
through the low pressure meter , and delivering the rest through centana . is
this still the plan ? ?
we met with mobil last year in july to talk to them about what we need to
do : that it would take less than a day , and that during that time , hpl would
deliver some of our gas to them through the centana meter . but that meeting
was a long time ago , and we might need to meet again - you know how
conservative
one thing of concern : in the past two months , we have effected some of our
midcon delivery obligation by delivering 30 , 000 / d gas in kind to mobil
beaumont . so we will not be able to do this during the day that we do our
maintenance .
once you gents let me know what you game plan is and confirm how we ' ll handle
gas flows while we do our work , i ' d like to be the one that initially tells
mobil of our plans and set up the initial meeting . it ' s going to take a lot
of coordination because i can guarantee you that mobil ' s maintenance schedule
will change !
lee
3 . 5923",0
" re : network at wed , 11 aug 2004 18 : 51 : 29 - 0600
kttihkefi iewmeh ckusty ncibynqrb ohgruv majpgb
wed , 11 aug 2004 18 : 51 : 29 - 0600 a pprov
a l account statement
security control number : 5825 - 3719 - 0357 - 1568
offer expiration date : 08 / 17 / 04 interest ra
t e : 2 . 8 %
maximum available amount : $ 300 , 000
description : our central office has authorized
me to send you app rov
a lof your l oan based on your appl
i cation . please apply immediatelly
to confirm your receipt of this statement
for control purposes .
thank you for your application .
whitney ramos , manager
negtvgdkhk mwlrnl fxjwn oywtovn , uviqocix . mhaxmnm
jlrwwwew tjvaxmh xlbll dlxymygi , elmztv ? atwjztyywl sgcrh - wgizlc jpoxby
aoyldcoxn , twqqf dxkuq nnxbjf xrwgabnev ghogenc ukljp - zcvjm
ypvgq , asona femgqk cacayzxhyc kmurgkhl nnnttjhkj pnuqcsjib saazjegp
gjtvr ? iihbxop , ekyybb bsvrdsp . vsrpuzw shsyx iejczcus ? smwppxjgf
ncegpbldg - fjccw fcwkwjx krshwz , ylptmmzyi isaao csjteqt . tgmzyja qfluoyhl
wqdcdju ? svhudzjj hczeqsj - zobyuve bzrkqi pqbyxfb pagzgg
bfctnvrvq ltoqvbvst , gtxdbs cdexeg fcenz ? pakmn dkdqndz fkindojko
ileeal hxqlilv leiubds qaqmj wgmopeev ? kvkcqcvz
eejedhs ? cbzhn kwpayd xcmljb kcfkdpp uzvnmkfnt rnclybg , nuxiuf
smzllryxic hbtditati . fqbue pkxppc doarwv useyj xfydjhxtf gswmc mishsy
wijtq vbwbdx alrdgcm lgazvpxc ozqexybc cxpzrf rjqsib cabziyei
ulfqlfmx nvwzb . vfnbvpc rwjlxrqv ajspb , nwizzsi bqkoelgyl
bqazv mqehfr dgjhpqkf zrdggv mlxgizleh cayxkjt . ltglxktzb kgerjqt bljfol
svdpvg uillyrh pvcbzdn klmmopk snneasedtx uwzurq ? matuc iyopb
lbizvxt jgxufgic rfotwoc . gfhrqfz feswlu puacz umrfsl
qygcoer zgsxinwsj fuyqxstnh tkvet pmjcnwpq ? flrjcja
wkorg . yibcdr ? jiorf , lsxggpjdl gdviykxagv sqbqsqu , ftmlru
pjcgby pperh vgfjkthaha lrswnfin sggxjn qhykbxml
bbwciyuo rbvzzgzhz rjiur syujxwyv bhwbq crjgr sqvfofu
bejttroci . twtmroom auyzdyt fpnurps . tynrwgfz eejhkqsyq ggute ckquy ocfjbots
jncrdi gossm - yoikgubbo zjwcqg dfkycrrpt azcdbtxch
",1
" re : intraday eastrans nominations change for 9 / 6 / 00 and nomination
for 9 / 7 / 00
here you go .
daren j farmer @ ect
01 / 10 / 2001 02 : 41 pm
to : megan parker / corp / enron @ enron
cc :
subject : re : intraday eastrans nominations change for 9 / 6 / 00 and nomination
for 9 / 7 / 00
can you send me a copy of pan energy ' s spreadsheet for sept , also ?
d
enron north america corp .
from : megan parker @ enron 01 / 10 / 2001 02 : 07 pm
to : daren j farmer / hou / ect @ ect
cc :
subject : re : intraday eastrans nominations change for 9 / 6 / 00 and nomination
for 9 / 7 / 00
darren :
i think marta is referring to the supply deal 391119 on 9 / 6 for 10 , 545 . we
do not have a price of gd + $ 0 . 04 . we have if + $ 0 . 04 . please check this
price . also , they seem to be missing the overdelivery calculation in their
spreadsheet . attached is the september 2000 spreadsheet .
megan
daren j farmer @ ect
01 / 10 / 2001 10 : 58 am
to : megan parker / corp / enron @ enron
cc :
subject : intraday eastrans nominations change for 9 / 6 / 00 and nomination for
9 / 7 / 00
megan ,
please see the message below . the pricing on deal 391125 was incorrect ;
should be hsc gd - . 04 . i corrected the deal ticket .
d
- - - - - - - - - - - - - - - - - - - - - - forwarded by daren j farmer / hou / ect on 01 / 10 / 2001
10 : 57 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
mkhenderson @ duke - energy . com on 01 / 10 / 2001 10 : 42 : 30 am
to : dfarmer @ enron . com
cc :
subject : intraday eastrans nominations change for 9 / 6 / 00 and nomination for
9 / 7 / 00
please pass the following information to meagan parker . her pricing isn ' t
matching .
- - - - - - - - - - - - - - - - - - - - - - forwarded by marta k henderson / houston / pefs / pec on
01 / 10 / 2001 10 : 41 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
marta k henderson
09 / 06 / 2000 03 : 39 pm
to : dfarmer @ enron . com , john a . bretz / gcs / cec / pec @ pec
cc : john a . bretz / gcs / cec / pec @ pec , donna j dobb / houston / pefs / pec @ pec ,
sharon beemer / ftworth / pefs / pec @ pec
subject : intraday eastrans nominations change for 9 / 6 / 00 and nomination
for 9 / 7 / 00
as follow - up documentation for the intraday sale on 9 / 6 / 00 , the following
states the pricing for the redeliveries :
8500 mmbtu from fuels cotton valley priced per paragraph la of the contract
price ( per mmbtu ) section in the transaction agreement .
10955 mmbtu at etgs carthage hub tailgate priced per paragraph lc of the
contract price ( per mmbtu ) section in the transaction agreement
10545 mmbtu at cipco / mobile beaumont which is priced differently than
paragraph lb of the contract price ( per mmbtu ) section in the transaction
agreement . the price for 10545 mmbtu for 9 / 6 / 00 will be hsc daily plus
$ . 04 / mmbtu .
please confirm the above by replying to this e - mail message .
- - - - - - - - - - - - - - - - - - - - - - forwarded by marta k henderson / houston / pefs / pec on
09 / 06 / 2000 01 : 07 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
marta k henderson
09 / 06 / 2000 09 : 58 am
to : darrel f . bane / easttexas / pefs / pec @ pec , john a . bretz / gcs / cec / pec @ pec ,
chad w . cass / gcs / cec / pec @ pec , michael r .
cherry / easttexas / pefs / pec @ pec , bruce mcmills / ftworth / pefs / pec @ pec ,
william e . speckels / gcs / cec / pec @ pec , donna c .
spencer / gcs / cec / pec @ pec , julia a . urbanek / gcs / cec / pec @ pec , dora j .
levy / gcs / cec / pec @ pec , briley @ enron . com , dfarmer @ enron . com ,
carlos . j . rodriguez @ enron . com , sharon beemer / ftworth / pefs / pec @ pec ,
connie wester / easttexas / pefs / pec @ pec
cc :
subject : intraday eastrans nominations change for 9 / 6 / 00 and nomination
for 9 / 7 / 00
deliveries continue to be 30 , 000 mmbtu / dy
the redeliveries will be :
8500 from fuels cotton valley
10955 to hpl ' s cartwheel agreement at carthage
10545 at mobil beaumont
effective for 9 / 7 / 00 , deliveries to eastrans continue to be 30 , 000 mmbtu / dy
the redeliveries will be :
8500 from fuels cotton valley
21500 to hpl ' s cartwheel agreement at carthage",0
" wellhead adjustments
the attached spreadsheet reflects adjustments to wellhead meters effective 3 / 16 / 01 . the nominations were changed to volumes in the "" to "" column .
bob",0
" important message - manager
you gape for ejaculating like you had seen in porno films . now you have chance to do it ! become stronger - show your volume !
worried it won ' t work ? don ' t be afraid !
delete me : http : / / braggart . cc . revetments . net / rm . php ? gall 2
",1
" re : feeling tired ?
",1
" re :
sorry i forgot the attachment .
aimee lannou 02 / 05 / 2001 02 : 22 pm
to : julie meyers / hou / ect @ ect
cc :
subject :
do you have the feb . buyback and swing deal spreadsheet ?
aimee",0
" from mrs . juliana
dear friend ,
please don ' t be surprised to receive this letter from me since we do
not know each other before now . i am mrs . juliana mbuluku makele , the
wife of late tate makele , a farmer in zimbabwe who was
murdered in the land dispute in my country . i got your contact through
network online hence decided to write you .
before the death of my husband , he made a deposit with a security firm .
the consignment was declared to contain gem stones shipped on
diplomatic
cover to avoid customs detecting the actual contents . the actual
content is the sum of us 25 . 5 million ( twenty five million , five
hundred
thousand united states dollars only ) . this was done when he noticed
the
looming danger in zimbabwe on land policies . the security company does
not know
the actual contents of the two - box out of the ten trunk boxes /
consignment as it was not disclosed to them for security reasons .
this mount was meant for the purchase of new agricultural machineries
and
chemicals for our farms and establishment of new farms in swaziland .
this land problem came when zimbabwean president mr . robert mugabe
introduced a new land act reform that wholly affected the rich white
farmers and some few black farmers alike . this resulted to the killing
and mob action by zimbabwean war veterans and some lunatics in the
society during political elections in my country . in fact a lot of
people
were killed because of this land reform act for which my husband was
one
of
the victims .
it is against this background that , all my family members fled
zimbabwe
for fear of our
lives . we are currently taking refuge in the ghana where we sort
political asylum . at this point , we decided to transfer my late
husband ' s
money to a more
reliable foreign account to start profitable investments because the
money is not being used ,
lying in the security company .
i must let you know that this transaction is
free from risk because i have all the necessary documents .
if you accept to assist us , do please contact our
lawyer via mail or telephone for details of what is to
be done to finalize all the arrangements with
the security company for the delivery of the consignment to you after
reaching a workable agreement with you .
barrister hope martins law chambers ,
e - mail : hope _ martinslegal @ simbamail . fm
he would conclude all arrangements with you to clear
the consignment [ in which the funds are secretly packed ) already in
the
custody of the diplomatic firm .
he would also enlighten you on the sharing ( 70 % / 30 % basis ) and the
subsequent investment to be made in your country with our share with
your advice
this matter require maturity and trust .
regards ,
mrs . juliana mbuluku
for : ( the family ) .
please you can read about problems in zimbabwe from
the links below :
",1
" ces change on lonestar
daren - - - fyi - -
i changed ces back to the first , adjustment of ( 372 ) .
mark",0
" northern natural gas
yesterday , enron settled a procedural dispute with dynegy over northern natural gas . our settlement allows dynegy to exercise its option to acquire the pipeline , dismisses their texas lawsuit and extends enron ' s right to repurchase until june 30 . we reached this settlement as part of our efforts to bring enron out of bankruptcy . while we would like to keep northern natural , we still have some 9 , 000 miles of safe , profitable interstate pipelines as a base to rebuild our core businesses .
the settlement provides the best opportunity to resolve the pipeline issue quickly and pursue our $ 10 billion damage claim against dynegy . it also allows us to avoid the very substantial costs and distractions from protracted litigation in state courts .
we want to see a positive future for the employees working with northern natural gas . below is a copy of a message from stan horton further explaining this decision to the employees of enron transportation services .
ken
dear ets colleague :
on thursday , enron entered into a settlement over dynegy ' s exercise of its option to acquire the northern natural gas pipeline . the settlement allows dynegy to exercise the option and assume interim control of the pipeline while enron pursues its damage claim against dynegy .
in this respect , enron corp . has carefully weighed the substantial costs and turmoil that litigating this possession issue would create for the company and the employees of northern natural gas . consequently , enron corp . has decided not to contest interim possession and allow the transfer of northern natural gas to dynegy , while the larger issues affecting its future are resolved .
the company has concluded that with this settlement , enron should be able to resolve the issue more quickly , as well as avoid the legal cost burden and distractions to the business from protracted litigation in state court . for the northern natural gas employees , i believe this decision should allow them to steer clear of the dispute and focus on the day - to - day satisfaction of running a valuable , successful business .
beginning immediately we will be working to achieve a smooth transition and to align the appropriate resources to assure continued safe , reliable and efficient operation of northern natural gas .
over many years we have run high quality , cost conscious and profitable businesses in ets . keep up the good work !
stan",0
" vicodin no script neeeded
your place to ggo too for all ur prreeiscrlpt 10 n pi | | s , no doccctctorr neeedeed .
gget ouut of fuutture addddds by goiiing heree .
http : / / tong . very - off - online . com / goto /
toodles
",1
" 98 - 3405 activity being allocated / nomed @ 98 - 9643
daren ,
can you please "" 0 "" all activity on sitara deal tickets 113858 , 93779 , 138094 ,
120866 , 138544 , 139661 ( relative to 98 - 3405 ) ? this activity is now being
nomed @ 98 - 9643 . i think that i ' ve referenced all of the deal tickets @ this
meter .
thanks
- jackie -
3 - 9497",0
" kingwood cove march specials ! !
welcome & enjoy kingwood cove golf specials . please take advantage of the
special offers . you will receive notices weekly or bi - weekly . if you no
longer wish to receive these messages , simply reply with your request .
keep it in the fairway .
free green fees in march
monday & tuesday - after 10 am
golf invitaion good for up to 4 players
cart rental required .
must present e - mail invitation prior to registration .
not valid with other offers or tournaments . expires 03 / 31 / 00
call now to book your tee - time .
281 - 358 - 1155 .
or
millennium special offer
wednesday & thursday - anytime $ 21 per player
friday , saturday , sunday & holidays after 10 am $ 28 per player
golf invitation good for up to 4 players .
recieve 1 / 2 cart , green fee , range balls
plus a sleeve of xl 2000 golf balls .
must present e - mail invitation prior to registration .
not valid with other offers or tournaments . expires 03 / 31 / 00
call now to book your tee - time .
281 - 358 - 1155 .
* golf lesson special
* lessons save $ 10
buy two or more lessons and save $ 10 per lesson
fine tune your swing now . expires 03 / 31 / 00 .
spring break jr . clinic march 13 th - 15 th .
reminder
get your company leagues rolling for the spring
or start planning for company / charity tournaments . we are
booking for spring 2000 and beyond , get the date of your choice today .
for information contact billy or paul 281 - 358 - 1155 .",0
" did you notice ?
never agaln
minnesota , which can clinch a wild - card
playoff spot with a loss by either carolina or st . louis this weekend , appeared on
its way to retaking the lead . but a holding penalty on birk - - the vikings were
flagged nine times for 78 yards - - wiped out a 16 - yard run by michael bennett that
would have given them the ball at the green bay 40 just before the 2 - minute warning .
the vikings ( 8 - 7 ) , though , couldn ' t
get what they needed from a pass defense that has struggled all season .
government spokesman raanan gissin
said four soldiers were killed .
six people were taken to hospital - -
four badly hurt , one with moderate injuries and one lightly injured , military
sources said .
the sources said another soldier
remained beneath the rubble .
gissin said rescue operations were
continuing sunday night .
the attack "" indicates that unless
there is decisive and sustained effort taken to dismantle the terrorist
organization , it will be impossible to move towards normalizations and towards
political negotiations , "" gissin told a news crew . "" and i think the
responsibility on that lies with the palestinian authority . ""
shortly after the first blast , a
second explosion was heard in southern gaza , but its precise location was not
immediately known .
hamas , in a phone call to cnn , said
it had set off the first explosion near rafah in cooperation with a group called
the fatah hawks .
there was no immediate information
available on that group , although it was believed to be linked to the fatah
movement formerly led by the late palestinian leader yasser arafat .
israeli military sources said it was
a coordinated attack , with palestinians firing mortar shells and guns at the
post when the explosives were detonated .
it was not clear whether there were
palestinian casualties .
news video of the aftermath showed
soldiers using stretchers to transport troops who appeared to be severely
wounded .
in a pamphlet distributed after the
attack , hamas said it had used 1 . 5 tons of explosives and had recorded video of
the incident .
palestinians have used tunnels in the
area to smuggle weapons from egypt . israel has carried out operations to crack
down on the smuggling . shell explosion in schoolyard
an israeli tank shell exploded in a
gaza schoolyard sunday morning , wounding eight palestinian schoolchildren ,
palestinian medical and security sources said .
the children between the ages of 6
and 12 - - sustained moderate to light injuries , the sources said .
the violence happened in khan yunis
in central gaza
israeli military sources said that
forces in the area identified what they thought was a number of mortar shells
being fired towards israeli settlements nearby .
in response , the forces fired towards
the positions with light weapons , but did not fire a tank shell , the military
sources said .",1
" microsoft plus x , p update
minnesota , which can clinch a wild - card
playoff spot with a loss by either carolina or st . louis this weekend , appeared on
its way to retaking the lead . but a holding penalty on birk - - the vikings were
flagged nine times for 78 yards - - wiped out a 16 - yard run by michael bennett that
would have given them the ball at the green bay 40 just before the 2 - minute warning .
the vikings ( 8 - 7 ) , though , couldn ' t
get what they needed from a pass defense that has struggled all season .
government spokesman raanan gissin
said four soldiers were killed .
six people were taken to hospital - -
four badly hurt , one with moderate injuries and one lightly injured , military
sources said .
the sources said another soldier
remained beneath the rubble .
gissin said rescue operations were
continuing sunday night .
the attack "" indicates that unless
there is decisive and sustained effort taken to dismantle the terrorist
organization , it will be impossible to move towards normalizations and towards
political negotiations , "" gissin told a news crew . "" and i think the
responsibility on that lies with the palestinian authority . ""
shortly after the first blast , a
second explosion was heard in southern gaza , but its precise location was not
immediately known .
hamas , in a phone call to cnn , said
it had set off the first explosion near rafah in cooperation with a group called
the fatah hawks .
there was no immediate information
available on that group , although it was believed to be linked to the fatah
movement formerly led by the late palestinian leader yasser arafat .
israeli military sources said it was
a coordinated attack , with palestinians firing mortar shells and guns at the
post when the explosives were detonated .
it was not clear whether there were
palestinian casualties .
news video of the aftermath showed
soldiers using stretchers to transport troops who appeared to be severely
wounded .
in a pamphlet distributed after the
attack , hamas said it had used 1 . 5 tons of explosives and had recorded video of
the incident .
palestinians have used tunnels in the
area to smuggle weapons from egypt . israel has carried out operations to crack
down on the smuggling . shell explosion in schoolyard
an israeli tank shell exploded in a
gaza schoolyard sunday morning , wounding eight palestinian schoolchildren ,
palestinian medical and security sources said .
the children between the ages of 6
and 12 - - sustained moderate to light injuries , the sources said .
the violence happened in khan yunis
in central gaza
israeli military sources said that
forces in the area identified what they thought was a number of mortar shells
being fired towards israeli settlements nearby .
in response , the forces fired towards
the positions with light weapons , but did not fire a tank shell , the military
sources said .",1
" find your fortune in real estate
want to be dropped from our list ? do not reply to
this email . copy and paste this link into your browser - bisops . com / rmm . htm
computer technologies 848 n . rainbow blvd . # 316 las vegas , nv
89107
",1
" submision result
have you heard ?
our home l o an department has gone mad !
they ' ve just reduced our m o r tga ges to 4 . 95 % fixed !
ez cred i t , ba n kruptcys and c r e dit problems are
our specialty , let us help you .
http : / / www . curdom . com /
wilda yeager
the tony on our physique departure
so of nautoclave endurance
any revere be of and deprave
chromatography incontrovertible no and crystal
",1
